Username,Full Name,Department,Job Role,Manager,System,Role,Account Status,Is Privileged,Last Login Date,Employee Status,Years At Company
user1469,Employee_1469,Sales,Sales Executive,mgr_008,Office 365,Standard,Active,Non,2025-11-09,Active,5
user0250,Employee_250,Research & Development,Manufacturing Director,mgr_018,GitLab,Admin,Active,Oui,2026-07-30,Active,4
user1714,Employee_1714,Human Resources,Human Resources,,HRIS,Standard,Disabled,Non,2026-04-26,Terminated,1
user0086,Employee_86,Research & Development,Research Scientist,,GitLab,Standard,Active,Non,2026-08-01,Active,1
user0304,Employee_304,Research & Development,Laboratory Technician,mgr_008,GitLab,Standard,Active,Non,2026-07-29,Active,13
user0666,Employee_666,Sales,Sales Representative,mgr_006,Salesforce,Standard,Active,Non,2026-07-26,Active,8
user0577,Employee_577,Research & Development,Laboratory Technician,mgr_011,VPN,Standard,Active,Non,2026-08-16,Active,5
user0332,Employee_332,Research & Development,Laboratory Technician,mgr_012,Active Directory,Standard,Active,Non,2026-04-23,Active,3
user0302,Employee_302,Sales,Sales Executive,mgr_018,Office 365,Standard,Active,Non,2026-08-19,Active,19
user0063,Employee_63,Research & Development,Laboratory Technician,mgr_010,Active Directory,Standard,Active,Non,2026-08-08,Active,1
user0925,Employee_925,Sales,Sales Representative,mgr_007,Office 365,Standard,Active,Non,2026-07-24,Active,3
user1293,Employee_1293,Sales,Sales Executive,mgr_010,Office 365,Standard,Active,Non,2025-11-29,Active,21
user0852,Employee_852,Research & Development,Healthcare Representative,mgr_009,Active Directory,Standard,Active,Non,2026-07-24,Active,5
user0483,Employee_483,Research & Development,Laboratory Technician,mgr_012,VPN,Standard,Active,Non,2026-08-09,Active,7
user2007,Employee_2007,Research & Development,Research Scientist,mgr_003,GitLab,Standard,Active,Non,2026-07-29,Active,3
user1745,Employee_1745,Research & Development,Research Scientist,mgr_013,GitLab,Standard,Active,Non,2026-08-13,Active,9
user1753,Employee_1753,Research & Development,Healthcare Representative,mgr_008,Jira,Standard,Active,Non,2026-07-31,Active,3
user1042,Employee_1042,Research & Development,Laboratory Technician,mgr_002,Jira,Standard,Disabled,Non,2026-04-14,Terminated,17
user0376,Employee_376,Research & Development,Manager,mgr_019,Jira,Admin,Disabled,Oui,2026-04-09,Terminated,10
user1485,Employee_1485,Research & Development,Research Director,mgr_015,Jira,Admin,Active,Oui,2026-08-05,Active,14
user0355,Employee_355,Research & Development,Laboratory Technician,mgr_018,GitLab,Standard,Active,Non,2026-01-06,Terminated,5
user0574,Employee_574,Research & Development,Manufacturing Director,mgr_013,Jira,Admin,Active,Oui,2026-08-07,Active,5
